Age,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,TDPerGame,IntPerGame,SkPerGame
25.0,12.0,12.0,190.0,301.0,63.1,2091.0,13.0,4.3,12.0,4.0,86.0,36.5,98.0,6.9,6.02,11.0,174.3,81.4,25.2,41.0,233.0,11.99,5.43,4.61,1.0833333333333333,1.0,3.4166666666666665
27.0,10.0,10.0,216.0,341.0,63.3,2070.0,8.0,2.3,7.0,2.1,106.0,43.0,43.0,6.1,5.62,9.6,207.0,79.4,44.4,29.0,172.0,7.84,5.13,4.71,0.8,0.7,2.9
25.0,10.0,10.0,172.0,284.0,60.6,2045.0,11.0,3.9,7.0,2.5,97.0,45.4,85.0,7.2,6.87,11.9,204.5,85.2,56.1,18.0,140.0,5.96,6.31,5.99,1.1,0.7,1.8
28.0,10.0,9.0,203.0,306.0,66.3,2013.0,9.0,2.9,10.0,3.3,106.0,44.2,57.0,6.6,5.7,9.9,201.3,81.0,35.0,29.0,164.0,8.66,5.52,4.71,0.9,1.0,2.9
31.0,8.0,8.0,185.0,286.0,64.7,1978.0,11.0,3.8,8.0,2.8,87.0,45.3,65.0,6.9,6.43,10.7,247.3,86.0,41.9,21.0,112.0,6.84,6.08,5.62,1.375,1.0,2.625
31.0,12.0,8.0,187.0,308.0,60.7,1844.0,12.0,3.9,5.0,1.6,92.0,42.4,64.0,6.0,6.04,9.9,153.7,83.8,37.8,13.0,95.0,4.05,5.45,5.5,1.0,0.4166666666666667,1.0833333333333333
22.0,11.0,11.0,126.0,264.0,47.7,1814.0,8.0,3.0,12.0,4.5,73.0,36.0,69.0,6.9,5.43,14.4,164.9,61.6,47.4,14.0,115.0,5.04,6.11,4.74,0.7272727272727273,1.0909090909090908,1.2727272727272727
39.0,8.0,6.0,162.0,248.0,65.3,1761.0,12.0,4.8,7.0,2.8,87.0,46.2,65.0,7.1,6.8,10.9,220.1,90.5,50.0,18.0,123.0,6.77,6.16,5.88,1.5,0.875,2.25
26.0,10.0,7.0,171.0,262.0,65.3,1672.0,8.0,3.1,8.0,3.1,77.0,42.8,62.0,6.4,5.62,9.8,167.2,80.5,36.6,14.0,100.0,5.07,5.7,4.97,0.8,0.8,1.4
26.0,9.0,7.0,154.0,243.0,63.4,1612.0,8.0,3.3,4.0,1.6,78.0,47.8,58.0,6.6,6.55,10.5,179.1,86.7,46.0,10.0,82.0,3.95,6.05,5.97,0.8888888888888888,0.4444444444444444,1.1111111111111112
29.0,8.0,5.0,146.0,228.0,64.0,1530.0,9.0,3.9,9.0,3.9,78.0,49.0,47.0,6.7,5.72,10.5,191.3,80.1,52.2,11.0,71.0,4.6,6.1,5.16,1.125,1.125,1.375
24.0,7.0,6.0,130.0,228.0,57.0,1317.0,4.0,1.8,5.0,2.2,62.0,34.8,41.0,5.8,5.14,10.1,188.1,70.4,37.1,22.0,136.0,8.8,4.72,4.14,0.5714285714285714,0.7142857142857143,3.142857142857143
29.0,7.0,7.0,137.0,216.0,63.4,1148.0,5.0,2.3,3.0,1.4,49.0,33.3,35.0,5.3,5.15,8.4,164.0,79.0,21.0,33.0,191.0,13.25,3.84,3.7,0.7142857142857143,0.42857142857142855,4.714285714285714
25.0,10.0,6.0,106.0,161.0,65.8,1106.0,5.0,3.1,1.0,0.6,45.0,42.9,55.0,6.9,7.21,10.4,110.6,93.3,47.4,16.0,124.0,9.04,5.55,5.86,0.5,0.1,1.6
28.0,8.0,5.0,107.0,181.0,59.1,1071.0,6.0,3.3,5.0,2.8,45.0,39.9,59.0,5.9,5.34,10.0,133.9,75.5,43.0,12.0,88.0,6.22,5.09,4.55,0.75,0.625,1.5
37.0,6.0,5.0,106.0,160.0,66.3,989.0,7.0,4.4,6.0,3.8,50.0,40.7,39.0,6.2,5.37,9.3,164.8,82.0,52.0,7.0,37.0,4.19,5.7,4.92,1.1666666666666667,1.0,1.1666666666666667
26.0,5.0,5.0,86.0,133.0,64.7,829.0,3.0,2.3,3.0,2.3,45.0,40.5,25.0,6.2,5.67,9.6,165.8,80.1,32.2,15.0,92.0,10.14,4.98,4.47,0.6,0.6,3.0
32.0,8.0,5.0,95.0,161.0,59.0,826.0,2.0,1.2,1.0,0.6,41.0,35.8,50.0,5.1,5.1,8.7,103.3,74.2,41.5,18.0,119.0,10.06,3.95,3.92,0.25,0.125,2.25
24.0,5.0,3.0,61.0,105.0,58.1,775.0,3.0,2.9,3.0,2.9,35.0,42.2,42.0,7.4,6.67,12.7,155.0,78.9,47.6,4.0,14.0,3.67,6.98,6.29,0.6,0.6,0.8
25.0,7.0,2.0,40.0,54.0,74.1,550.0,3.0,5.6,0.0,0.0,20.0,37.1,51.0,10.2,11.3,13.8,78.6,124.8,77.3,8.0,37.0,12.9,8.27,9.24,0.42857142857142855,0.0,1.1428571428571428
25.0,6.0,1.0,52.0,85.0,61.2,458.0,2.0,2.4,2.0,2.4,24.0,42.1,28.0,5.4,4.8,8.8,76.3,73.6,25.3,10.0,64.0,10.53,4.15,3.62,0.3333333333333333,0.3333333333333333,1.6666666666666667
25.0,7.0,2.0,61.0,118.0,51.7,440.0,0.0,0.0,6.0,5.1,20.0,27.8,29.0,3.7,1.44,7.2,62.9,39.5,17.3,8.0,47.0,6.35,3.12,0.98,0.0,0.8571428571428571,1.1428571428571428
